Time         CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
10:54:31     all    0.42    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.58
10:54:32     all    0.00    0.00    0.00    0.62    0.00    0.09    0.00    0.00   79.29
10:54:33     all    0.14    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.86
10:54:34     all    0.30    0.00    0.15    0.00    0.00    0.30    0.00    0.00   69.26
10:54:35     all    0.14    0.00    0.14    0.00    0.00    0.00    0.00    0.00   77.71
10:54:36     all    0.10    0.00    0.00    0.67    0.00    0.00    0.00    0.00   39.23
10:54:37     all    0.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00   44.75
10:54:38     all    0.15    0.00    0.15    0.00    0.00    0.00    0.00    0.00   56.71
10:54:39     all    0.28    0.00    0.00    0.00    0.00    0.00    0.00    0.00   79.72
10:54:40     all    0.00    0.00    0.18    0.00    0.00    0.00    0.00    0.00   69.82
10:54:41     all    0.12    0.00    0.00    0.37    0.00    0.12    0.00    0.00   31.39
10:54:42     all    0.14    0.00    0.00    0.00    0.00    0.00    0.00    0.00   65.86
10:54:43     all    0.30    0.00    0.00    0.00    0.00    0.00    0.00    0.00   32.70
10:54:44     all    0.22    0.00    0.00    0.00    0.00    0.00    0.00    0.00   69.78
10:54:45     all    0.13    0.00    0.00    0.63    0.00    0.00    0.00    0.00   39.24
10:54:46     all    0.16    0.00    0.04    0.18    0.00    0.03    0.00    0.00   78.58
